VariableName,VarUnits,SampleMedium,DataType,ValueType,TimeSupport,TimeUnits,Speciation,SiteName,SiteCode,Latitude,Longitude,GeneralCategory,NoDataValue
Precipitation,millimeter,Precipitation,Incremental,Field Observation,1,day,Not Applicable,"IOWA CITY MUNI AP             ",GHCN:USW00014937,41.6328,-91.5431,Climate,-9999
UTCTimeStamp,LocalTimestamp,UTCOffset,Value,MethodDescription,QualityControlLevel,ValueAccuracy,CensorCode,OffsetValue,OffsetDescription,OffsetUnit,Qualifier,QualifierDescription,SourceDescription,SourceLink,Citation
1948-04-27 00:00:00,1948-04-27 00:00:00,0,2.5,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-28 00:00:00,1948-04-28 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-29 00:00:00,1948-04-29 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-30 00:00:00,1948-04-30 00:00:00,0,5.3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-01 00:00:00,1948-05-01 00:00:00,0,0.5,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-02 00:00:00,1948-05-02 00:00:00,0,31.2,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-03 00:00:00,1948-05-03 00:00:00,0,0.3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-04 00:00:00,1948-05-04 00:00:00,0,2.3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-05 00:00:00,1948-05-05 00:00:00,0,8.1,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-06 00:00:00,1948-05-06 00:00:00,0,7.1,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-07 00:00:00,1948-05-07 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-08 00:00:00,1948-05-08 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_01,unknown,unknown,unknown,unknown
1948-05-09 00:00:00,1948-05-09 00:00:00,0,2,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-10 00:00:00,1948-05-10 00:00:00,0,4.3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-11 00:00:00,1948-05-11 00:00:00,0,3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-12 00:00:00,1948-05-12 00:00:00,0,4.3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-13 00:00:00,1948-05-13 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_01,unknown,unknown,unknown,unknown
1948-05-14 00:00:00,1948-05-14 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_01,unknown,unknown,unknown,unknown
1948-05-15 00:00:00,1948-05-15 00:00:00,0,0.8,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-16 00:00:00,1948-05-16 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_01,unknown,unknown,unknown,unknown
1948-05-17 00:00:00,1948-05-17 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
